"tendid","docid","yyyy","array_agg"
"2012/S 193-317422","403866-2012",2012,"{""Tenderers under the NWUPC HVLE framework agreement are invited to bid by way of a rolled-up mini competition against diffraction equipment framework lots 1, 2 and 3. Bids for 1 or more lots are invited for new X-Ray Diffraction equipment.  Lot 1: New very high-intensity single crystal X-ray diffractometer (VHISCD1). Lot 2: New very high-intensity single crystal X-ray diffractometer (VHISCD2). (N.B. Lots 1 and 2 may be identical, similar or dissimilar.) Lot 3: Additionally, bids are invited for the upgrade of an existing Agilent SuperNova X-ray diffractometer to an enhanced dual wavelength instrument on this same Site (UPGRADE)."",""Tenderers under the NWUPC HVLE framework agreement are invited to bid by way of a rolled-up mini competition against diffraction equipment framework lots 1, 2 and 3. Bids for 1 or more lots are invited for new X-Ray Diffraction equipment.  Lot 1: New very high-intensity single crystal X-ray diffractometer (VHISCD1). Lot 2: New very high-intensity single crystal X-ray diffractometer (VHISCD2). (N.B. Lots 1 and 2 may be identical, similar or dissimilar.) Lot 3: Additionally, bids are invited for the upgrade of an existing Agilent SuperNova X-ray diffractometer to an enhanced dual wavelength instrument on this same Site (UPGRADE)."",""Tenderers under the NWUPC HVLE framework agreement are invited to bid by way of a rolled-up mini competition against diffraction equipment framework lots 1, 2 and 3. Bids for 1 or more lots are invited for new X-Ray Diffraction equipment.  Lot 1: New very high-intensity single crystal X-ray diffractometer (VHISCD1). Lot 2: New very high-intensity single crystal X-ray diffractometer (VHISCD2). (N.B. Lots 1 and 2 may be identical, similar or dissimilar.) Lot 3: Additionally, bids are invited for the upgrade of an existing Agilent SuperNova X-ray diffractometer to an enhanced dual wavelength instrument on this same Site (UPGRADE)."",""Tenderers under the NWUPC HVLE framework agreement are invited to bid by way of a rolled-up mini competition against diffraction equipment framework lots 1, 2 and 3. Bids for 1 or more lots are invited for new X-Ray Diffraction equipment.  Lot 1: New very high-intensity single crystal X-ray diffractometer (VHISCD1). Lot 2: New very high-intensity single crystal X-ray diffractometer (VHISCD2). (N.B. Lots 1 and 2 may be identical, similar or dissimilar.) Lot 3: Additionally, bids are invited for the upgrade of an existing Agilent SuperNova X-ray diffractometer to an enhanced dual wavelength instrument on this same Site (UPGRADE)."",""Tenderers under the NWUPC HVLE framework agreement are invited to bid by way of a rolled-up mini competition against diffraction equipment framework lots 1, 2 and 3. Bids for 1 or more lots are invited for new X-Ray Diffraction equipment.  Lot 1: New very high-intensity single crystal X-ray diffractometer (VHISCD1). Lot 2: New very high-intensity single crystal X-ray diffractometer (VHISCD2). (N.B. Lots 1 and 2 may be identical, similar or dissimilar.) Lot 3: Additionally, bids are invited for the upgrade of an existing Agilent SuperNova X-ray diffractometer to an enhanced dual wavelength instrument on this same Site (UPGRADE).""}"
"2012/S 193-317422","403866-2012",2012,"{""UK-Nottingham: Diffraction apparatus"",""UK-Nottingham: Diffraction apparatus"",""UK-Nottingham: Diffraction apparatus"",""UK-Nottingham: Diffraction apparatus"",""UK-Nottingham: Diffraction apparatus""}"
"2014/S 228-403278","403278-2014",2014,"{""Service cables.""}"
"2014/S 228-403278","403278-2014",2014,"{""Supplies Purchase NUTS code UK""}"
"2014/S 228-403278","403278-2014",2014,"{""Supply of service cables.""}"
"2014/S 228-403278","403278-2014",2014,"{""United Kingdom-Bristol: Low-voltage cable""}"
"2014/S 228-403253","403253-2014",2014,"{""PVC insulated single core general purpose cables.""}"
"2014/S 228-403253","403253-2014",2014,"{""Supplies Purchase NUTS code UK""}"
"2014/S 228-403253","403253-2014",2014,"{""Supply of PVC insulated single core general purpose cables.""}"
"2014/S 228-403253","403253-2014",2014,"{""United Kingdom-Bristol: Low-voltage cable""}"
"2014/S 227-401711","401711-2014",2014,"{""MV Distribution Cables (11kV and 33kV) — to Stock.""}"
"2014/S 227-401711","401711-2014",2014,"{""Supplies Purchase NUTS code UK""}"
"2014/S 227-401711","401711-2014",2014,"{""Supply of MV Distribution Cables (11kV and 33kV Cables) — to Stock.""}"
"2014/S 227-401711","401711-2014",2014,"{""United Kingdom-Bristol: Medium-voltage cable""}"
"2012/S 193-317422","397270-2012",2012,"{""All correspondence and expressions of interest relating to this project MUST be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering.Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document."",""All correspondence and expressions of interest relating to this project MUST be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering.Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document."",""All correspondence and expressions of interest relating to this project MUST be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering.Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document."",""All correspondence and expressions of interest relating to this project MUST be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering.Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document."",""All correspondence and expressions of interest relating to this project MUST be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering.Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document.""}"
"2012/S 193-317422","397270-2012",2012,"{""Liquid Phase Photoelectron Spectroscopy and XPS Facility."",""Liquid Phase Photoelectron Spectroscopy and XPS Facility."",""Liquid Phase Photoelectron Spectroscopy and XPS Facility."",""Liquid Phase Photoelectron Spectroscopy and XPS Facility."",""Liquid Phase Photoelectron Spectroscopy and XPS Facility.""}"
"2012/S 193-317422","397270-2012",2012,"{""Overview: Liquid Phase Photoelectron Spectroscopy (LiPPS) and Associated X-ray Photoelectron Spectroscopy (XPS) Facility The principle aim of this ITT activity is the establishment of a new University of Nottingham facility for the provision of an XPS analysis for both solid and liquid based research samples and will provide significant expertise and flexibility in the measurement of liquids and soft materials. To ensure maximum instrumental access and indeed the quality of instrumentation and data, we seek to arrange a high level of on going servicing/support to achieve maximum sample throughput and experimental impact. New XPS instrumentation (Requirement 1) is required to support research activities that span the Faculties of Science and Engineering in addition to the re-location of existing instrumentation (Requirement 2). Some of our critical and primary performance requirements include a reliable X-ray source that is proven to deliver a high flux of incident photons of energies within the range 2.5 to 4.0 KeV. The X-ray source MUST be monochromatic and have an operational the line width less than 2.5 eV, there is a working preference to Ag L infinity (2984.2 eV). The ability to switch monochromated X-ray sources from Hard (Ag L infinity to Soft (Al K infinity), with minimal instrument reconfiguration and loss of experimental time is also a requirement. The existing XPS is currently provided by a Kratos Axis Ultra instrument (ULTRA-1) which as part of this ITT is required to be re-located into the new XPS facility. Currently this instrument runs all samples both solid state and liquid. As a result of this tender process the ULTRA-1 instrument will predominantly investigate solid samples. The new equipment to be purchased is to be dedicated primarily to the investigation of ionic liquid samples (LiPPS). The instrument will be co-located in the new XPS facility. Liquid-based samples are typically composed of ionic liquids or solutions thereof, the vapour pressures of which are vanishingly small, rending then suitable for study under UHV. (NB - there is no expectation to include ambient pressure XPS of materials not compatible to UHV). The new LiPPS instrument is designed to probe solution processes, e.g. chemistry, by moving to a harder X-ray source (i.e Ag L infinity) which is more bulk sensitive in the normal emission mode, of course, increased surface sensitivity may be obtained by moving to a grazing angle, i.e. angle resolved XPS (AR-XPS). LiPPS is complimentary to traditional XPS analysis, using softer sources, and as such will support the national XPS facility (NEXUS), located in Newcastle. Full data compliance across systems both at UoN and indeed NEXUS is essential. Servicing of the new LiPPS instrument (Requirement 1) for 3 yrs must be included and on the relocated ULTRA-1 instrument (Requirement 2) for a minimum of one year, full warranty is required on both instruments. Additional provision for maintenance cover of LiPPS and ULTRA-1 instrumentation is required, taking the form of either i) extended warranty or ii) pre-purchase of engineering support (or parts) at preferential reduced rates. This Tender is set out with 2 main requirements, bidders may tender for either requirement or both."",""Overview: Liquid Phase Photoelectron Spectroscopy (LiPPS) and Associated X-ray Photoelectron Spectroscopy (XPS) Facility The principle aim of this ITT activity is the establishment of a new University of Nottingham facility for the provision of an XPS analysis for both solid and liquid based research samples and will provide significant expertise and flexibility in the measurement of liquids and soft materials. To ensure maximum instrumental access and indeed the quality of instrumentation and data, we seek to arrange a high level of on going servicing/support to achieve maximum sample throughput and experimental impact. New XPS instrumentation (Requirement 1) is required to support research activities that span the Faculties of Science and Engineering in addition to the re-location of existing instrumentation (Requirement 2). Some of our critical and primary performance requirements include a reliable X-ray source that is proven to deliver a high flux of incident photons of energies within the range 2.5 to 4.0 KeV. The X-ray source MUST be monochromatic and have an operational the line width less than 2.5 eV, there is a working preference to Ag L infinity (2984.2 eV). The ability to switch monochromated X-ray sources from Hard (Ag L infinity to Soft (Al K infinity), with minimal instrument reconfiguration and loss of experimental time is also a requirement. The existing XPS is currently provided by a Kratos Axis Ultra instrument (ULTRA-1) which as part of this ITT is required to be re-located into the new XPS facility. Currently this instrument runs all samples both solid state and liquid. As a result of this tender process the ULTRA-1 instrument will predominantly investigate solid samples. The new equipment to be purchased is to be dedicated primarily to the investigation of ionic liquid samples (LiPPS). The instrument will be co-located in the new XPS facility. Liquid-based samples are typically composed of ionic liquids or solutions thereof, the vapour pressures of which are vanishingly small, rending then suitable for study under UHV. (NB - there is no expectation to include ambient pressure XPS of materials not compatible to UHV). The new LiPPS instrument is designed to probe solution processes, e.g. chemistry, by moving to a harder X-ray source (i.e Ag L infinity) which is more bulk sensitive in the normal emission mode, of course, increased surface sensitivity may be obtained by moving to a grazing angle, i.e. angle resolved XPS (AR-XPS). LiPPS is complimentary to traditional XPS analysis, using softer sources, and as such will support the national XPS facility (NEXUS), located in Newcastle. Full data compliance across systems both at UoN and indeed NEXUS is essential. Servicing of the new LiPPS instrument (Requirement 1) for 3 yrs must be included and on the relocated ULTRA-1 instrument (Requirement 2) for a minimum of one year, full warranty is required on both instruments. Additional provision for maintenance cover of LiPPS and ULTRA-1 instrumentation is required, taking the form of either i) extended warranty or ii) pre-purchase of engineering support (or parts) at preferential reduced rates. This Tender is set out with 2 main requirements, bidders may tender for either requirement or both."",""Overview: Liquid Phase Photoelectron Spectroscopy (LiPPS) and Associated X-ray Photoelectron Spectroscopy (XPS) Facility The principle aim of this ITT activity is the establishment of a new University of Nottingham facility for the provision of an XPS analysis for both solid and liquid based research samples and will provide significant expertise and flexibility in the measurement of liquids and soft materials. To ensure maximum instrumental access and indeed the quality of instrumentation and data, we seek to arrange a high level of on going servicing/support to achieve maximum sample throughput and experimental impact. New XPS instrumentation (Requirement 1) is required to support research activities that span the Faculties of Science and Engineering in addition to the re-location of existing instrumentation (Requirement 2). Some of our critical and primary performance requirements include a reliable X-ray source that is proven to deliver a high flux of incident photons of energies within the range 2.5 to 4.0 KeV. The X-ray source MUST be monochromatic and have an operational the line width less than 2.5 eV, there is a working preference to Ag L infinity (2984.2 eV). The ability to switch monochromated X-ray sources from Hard (Ag L infinity to Soft (Al K infinity), with minimal instrument reconfiguration and loss of experimental time is also a requirement. The existing XPS is currently provided by a Kratos Axis Ultra instrument (ULTRA-1) which as part of this ITT is required to be re-located into the new XPS facility. Currently this instrument runs all samples both solid state and liquid. As a result of this tender process the ULTRA-1 instrument will predominantly investigate solid samples. The new equipment to be purchased is to be dedicated primarily to the investigation of ionic liquid samples (LiPPS). The instrument will be co-located in the new XPS facility. Liquid-based samples are typically composed of ionic liquids or solutions thereof, the vapour pressures of which are vanishingly small, rending then suitable for study under UHV. (NB - there is no expectation to include ambient pressure XPS of materials not compatible to UHV). The new LiPPS instrument is designed to probe solution processes, e.g. chemistry, by moving to a harder X-ray source (i.e Ag L infinity) which is more bulk sensitive in the normal emission mode, of course, increased surface sensitivity may be obtained by moving to a grazing angle, i.e. angle resolved XPS (AR-XPS). LiPPS is complimentary to traditional XPS analysis, using softer sources, and as such will support the national XPS facility (NEXUS), located in Newcastle. Full data compliance across systems both at UoN and indeed NEXUS is essential. Servicing of the new LiPPS instrument (Requirement 1) for 3 yrs must be included and on the relocated ULTRA-1 instrument (Requirement 2) for a minimum of one year, full warranty is required on both instruments. Additional provision for maintenance cover of LiPPS and ULTRA-1 instrumentation is required, taking the form of either i) extended warranty or ii) pre-purchase of engineering support (or parts) at preferential reduced rates. This Tender is set out with 2 main requirements, bidders may tender for either requirement or both."",""Overview: Liquid Phase Photoelectron Spectroscopy (LiPPS) and Associated X-ray Photoelectron Spectroscopy (XPS) Facility The principle aim of this ITT activity is the establishment of a new University of Nottingham facility for the provision of an XPS analysis for both solid and liquid based research samples and will provide significant expertise and flexibility in the measurement of liquids and soft materials. To ensure maximum instrumental access and indeed the quality of instrumentation and data, we seek to arrange a high level of on going servicing/support to achieve maximum sample throughput and experimental impact. New XPS instrumentation (Requirement 1) is required to support research activities that span the Faculties of Science and Engineering in addition to the re-location of existing instrumentation (Requirement 2). Some of our critical and primary performance requirements include a reliable X-ray source that is proven to deliver a high flux of incident photons of energies within the range 2.5 to 4.0 KeV. The X-ray source MUST be monochromatic and have an operational the line width less than 2.5 eV, there is a working preference to Ag L infinity (2984.2 eV). The ability to switch monochromated X-ray sources from Hard (Ag L infinity to Soft (Al K infinity), with minimal instrument reconfiguration and loss of experimental time is also a requirement. The existing XPS is currently provided by a Kratos Axis Ultra instrument (ULTRA-1) which as part of this ITT is required to be re-located into the new XPS facility. Currently this instrument runs all samples both solid state and liquid. As a result of this tender process the ULTRA-1 instrument will predominantly investigate solid samples. The new equipment to be purchased is to be dedicated primarily to the investigation of ionic liquid samples (LiPPS). The instrument will be co-located in the new XPS facility. Liquid-based samples are typically composed of ionic liquids or solutions thereof, the vapour pressures of which are vanishingly small, rending then suitable for study under UHV. (NB - there is no expectation to include ambient pressure XPS of materials not compatible to UHV). The new LiPPS instrument is designed to probe solution processes, e.g. chemistry, by moving to a harder X-ray source (i.e Ag L infinity) which is more bulk sensitive in the normal emission mode, of course, increased surface sensitivity may be obtained by moving to a grazing angle, i.e. angle resolved XPS (AR-XPS). LiPPS is complimentary to traditional XPS analysis, using softer sources, and as such will support the national XPS facility (NEXUS), located in Newcastle. Full data compliance across systems both at UoN and indeed NEXUS is essential. Servicing of the new LiPPS instrument (Requirement 1) for 3 yrs must be included and on the relocated ULTRA-1 instrument (Requirement 2) for a minimum of one year, full warranty is required on both instruments. Additional provision for maintenance cover of LiPPS and ULTRA-1 instrumentation is required, taking the form of either i) extended warranty or ii) pre-purchase of engineering support (or parts) at preferential reduced rates. This Tender is set out with 2 main requirements, bidders may tender for either requirement or both."",""Overview: Liquid Phase Photoelectron Spectroscopy (LiPPS) and Associated X-ray Photoelectron Spectroscopy (XPS) Facility The principle aim of this ITT activity is the establishment of a new University of Nottingham facility for the provision of an XPS analysis for both solid and liquid based research samples and will provide significant expertise and flexibility in the measurement of liquids and soft materials. To ensure maximum instrumental access and indeed the quality of instrumentation and data, we seek to arrange a high level of on going servicing/support to achieve maximum sample throughput and experimental impact. New XPS instrumentation (Requirement 1) is required to support research activities that span the Faculties of Science and Engineering in addition to the re-location of existing instrumentation (Requirement 2). Some of our critical and primary performance requirements include a reliable X-ray source that is proven to deliver a high flux of incident photons of energies within the range 2.5 to 4.0 KeV. The X-ray source MUST be monochromatic and have an operational the line width less than 2.5 eV, there is a working preference to Ag L infinity (2984.2 eV). The ability to switch monochromated X-ray sources from Hard (Ag L infinity to Soft (Al K infinity), with minimal instrument reconfiguration and loss of experimental time is also a requirement. The existing XPS is currently provided by a Kratos Axis Ultra instrument (ULTRA-1) which as part of this ITT is required to be re-located into the new XPS facility. Currently this instrument runs all samples both solid state and liquid. As a result of this tender process the ULTRA-1 instrument will predominantly investigate solid samples. The new equipment to be purchased is to be dedicated primarily to the investigation of ionic liquid samples (LiPPS). The instrument will be co-located in the new XPS facility. Liquid-based samples are typically composed of ionic liquids or solutions thereof, the vapour pressures of which are vanishingly small, rending then suitable for study under UHV. (NB - there is no expectation to include ambient pressure XPS of materials not compatible to UHV). The new LiPPS instrument is designed to probe solution processes, e.g. chemistry, by moving to a harder X-ray source (i.e Ag L infinity) which is more bulk sensitive in the normal emission mode, of course, increased surface sensitivity may be obtained by moving to a grazing angle, i.e. angle resolved XPS (AR-XPS). LiPPS is complimentary to traditional XPS analysis, using softer sources, and as such will support the national XPS facility (NEXUS), located in Newcastle. Full data compliance across systems both at UoN and indeed NEXUS is essential. Servicing of the new LiPPS instrument (Requirement 1) for 3 yrs must be included and on the relocated ULTRA-1 instrument (Requirement 2) for a minimum of one year, full warranty is required on both instruments. Additional provision for maintenance cover of LiPPS and ULTRA-1 instrumentation is required, taking the form of either i) extended warranty or ii) pre-purchase of engineering support (or parts) at preferential reduced rates. This Tender is set out with 2 main requirements, bidders may tender for either requirement or both.""}"
"2012/S 193-317422","397270-2012",2012,"{""Supplies Purchase NUTS code"",""Supplies Purchase NUTS code"",""Supplies Purchase NUTS code"",""Supplies Purchase NUTS code"",""Supplies Purchase NUTS code""}"
"2012/S 193-317422","397270-2012",2012,"{""UK-Nottingham: Spectroscopy devices"",""UK-Nottingham: Spectroscopy devices"",""UK-Nottingham: Spectroscopy devices"",""UK-Nottingham: Spectroscopy devices"",""UK-Nottingham: Spectroscopy devices""}"
"2010/S 236-359899","389141-2010",2010,"{""Electronic Employee Support Services."",""Electronic Employee Support Services."",""Electronic Employee Support Services."",""Electronic Employee Support Services."",""Electronic Employee Support Services."",""Electronic Employee Support Services."",""Electronic Employee Support Services.""}"
"2010/S 236-359899","389141-2010",2010,"{""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM"",""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM"",""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM"",""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM"",""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM"",""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM"",""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM""}"
"2010/S 236-359899","389141-2010",2010,"{""The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHSScotland Health Boards, Special Health Boards and the Common Services Agency), the provision of electronic employee support services which will include hosting and making available hosted software applications covering core elements such as recruitment, training administration, attendance management, employee relations processing and medical staffing. The services will be provided for a period of seven years. The provider will deliver a fully managed service which will include ensuring that their hosted system provides a range of complex interfaces with a variety of existing systems utilised across NHSScotland which include but are not limited to Payroll, Time Attendance, eExpenses and the Workforce Database. Services such as user and system support, development, training, implementation, data migration, disaster recovery/business continuity provision, change related improvement activities and associated benefits realisation will be delivered by the provider. The services will be delivered utilising a single instance suite of software applications, which will be centrally hosted by the provider and which must be available for access and use, along with the services to be provided, by all users."",""The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHSScotland Health Boards, Special Health Boards and the Common Services Agency), the provision of electronic employee support services which will include hosting and making available hosted software applications covering core elements such as recruitment, training administration, attendance management, employee relations processing and medical staffing. The services will be provided for a period of seven years. The provider will deliver a fully managed service which will include ensuring that their hosted system provides a range of complex interfaces with a variety of existing systems utilised across NHSScotland which include but are not limited to Payroll, Time Attendance, eExpenses and the Workforce Database. Services such as user and system support, development, training, implementation, data migration, disaster recovery/business continuity provision, change related improvement activities and associated benefits realisation will be delivered by the provider. The services will be delivered utilising a single instance suite of software applications, which will be centrally hosted by the provider and which must be available for access and use, along with the services to be provided, by all users."",""The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHSScotland Health Boards, Special Health Boards and the Common Services Agency), the provision of electronic employee support services which will include hosting and making available hosted software applications covering core elements such as recruitment, training administration, attendance management, employee relations processing and medical staffing. The services will be provided for a period of seven years. The provider will deliver a fully managed service which will include ensuring that their hosted system provides a range of complex interfaces with a variety of existing systems utilised across NHSScotland which include but are not limited to Payroll, Time Attendance, eExpenses and the Workforce Database. Services such as user and system support, development, training, implementation, data migration, disaster recovery/business continuity provision, change related improvement activities and associated benefits realisation will be delivered by the provider. The services will be delivered utilising a single instance suite of software applications, which will be centrally hosted by the provider and which must be available for access and use, along with the services to be provided, by all users."",""The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHSScotland Health Boards, Special Health Boards and the Common Services Agency), the provision of electronic employee support services which will include hosting and making available hosted software applications covering core elements such as recruitment, training administration, attendance management, employee relations processing and medical staffing. The services will be provided for a period of seven years. The provider will deliver a fully managed service which will include ensuring that their hosted system provides a range of complex interfaces with a variety of existing systems utilised across NHSScotland which include but are not limited to Payroll, Time Attendance, eExpenses and the Workforce Database. Services such as user and system support, development, training, implementation, data migration, disaster recovery/business continuity provision, change related improvement activities and associated benefits realisation will be delivered by the provider. The services will be delivered utilising a single instance suite of software applications, which will be centrally hosted by the provider and which must be available for access and use, along with the services to be provided, by all users."",""The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHSScotland Health Boards, Special Health Boards and the Common Services Agency), the provision of electronic employee support services which will include hosting and making available hosted software applications covering core elements such as recruitment, training administration, attendance management, employee relations processing and medical staffing. The services will be provided for a period of seven years. The provider will deliver a fully managed service which will include ensuring that their hosted system provides a range of complex interfaces with a variety of existing systems utilised across NHSScotland which include but are not limited to Payroll, Time Attendance, eExpenses and the Workforce Database. Services such as user and system support, development, training, implementation, data migration, disaster recovery/business continuity provision, change related improvement activities and associated benefits realisation will be delivered by the provider. The services will be delivered utilising a single instance suite of software applications, which will be centrally hosted by the provider and which must be available for access and use, along with the services to be provided, by all users."",""The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHSScotland Health Boards, Special Health Boards and the Common Services Agency), the provision of electronic employee support services which will include hosting and making available hosted software applications covering core elements such as recruitment, training administration, attendance management, employee relations processing and medical staffing. The services will be provided for a period of seven years. The provider will deliver a fully managed service which will include ensuring that their hosted system provides a range of complex interfaces with a variety of existing systems utilised across NHSScotland which include but are not limited to Payroll, Time Attendance, eExpenses and the Workforce Database. Services such as user and system support, development, training, implementation, data migration, disaster recovery/business continuity provision, change related improvement activities and associated benefits realisation will be delivered by the provider. The services will be delivered utilising a single instance suite of software applications, which will be centrally hosted by the provider and which must be available for access and use, along with the services to be provided, by all users."",""The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHSScotland Health Boards, Special Health Boards and the Common Services Agency), the provision of electronic employee support services which will include hosting and making available hosted software applications covering core elements such as recruitment, training administration, attendance management, employee relations processing and medical staffing. The services will be provided for a period of seven years. The provider will deliver a fully managed service which will include ensuring that their hosted system provides a range of complex interfaces with a variety of existing systems utilised across NHSScotland which include but are not limited to Payroll, Time Attendance, eExpenses and the Workforce Database. Services such as user and system support, development, training, implementation, data migration, disaster recovery/business continuity provision, change related improvement activities and associated benefits realisation will be delivered by the provider. The services will be delivered utilising a single instance suite of software applications, which will be centrally hosted by the provider and which must be available for access and use, along with the services to be provided, by all users.""}"
"2010/S 236-359899","389141-2010",2010,"{""The services are to be provided for a period of seven years. The Purchasing Authority is acting on behalf of the following organisations: The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHS Scotland Health Boards, Special Health Boards and the Common Services Agency). (SC Ref:195979)."",""The services are to be provided for a period of seven years. The Purchasing Authority is acting on behalf of the following organisations: The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHS Scotland Health Boards, Special Health Boards and the Common Services Agency). (SC Ref:195979)."",""The services are to be provided for a period of seven years. The Purchasing Authority is acting on behalf of the following organisations: The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHS Scotland Health Boards, Special Health Boards and the Common Services Agency). (SC Ref:195979)."",""The services are to be provided for a period of seven years. The Purchasing Authority is acting on behalf of the following organisations: The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHS Scotland Health Boards, Special Health Boards and the Common Services Agency). (SC Ref:195979)."",""The services are to be provided for a period of seven years. The Purchasing Authority is acting on behalf of the following organisations: The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHS Scotland Health Boards, Special Health Boards and the Common Services Agency). (SC Ref:195979)."",""The services are to be provided for a period of seven years. The Purchasing Authority is acting on behalf of the following organisations: The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHS Scotland Health Boards, Special Health Boards and the Common Services Agency). (SC Ref:195979)."",""The services are to be provided for a period of seven years. The Purchasing Authority is acting on behalf of the following organisations: The Authority is purchasing, on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978 (i.e. all NHS Scotland Health Boards, Special Health Boards and the Common Services Agency). (SC Ref:195979).""}"
"2010/S 236-359899","389141-2010",2010,"{""UK-Edinburgh: computer-related services"",""UK-Edinburgh: computer-related services"",""UK-Edinburgh: computer-related services"",""UK-Edinburgh: computer-related services"",""UK-Edinburgh: computer-related services"",""UK-Edinburgh: computer-related services"",""UK-Edinburgh: computer-related services""}"
"2014/S 212-376026","376026-2014",2014,"{""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services."",""Future IT Sourcing Programme. End User Computing Services.""}"
